accuracy,auc_roc,auc_roc_ovr_macro,auc_roc_ovr_macro_n_classes_included,best_val_acc,dataset,experiment,macro_f1,modality,n_folds,n_test,n_test_total,n_train,n_val,note,per_fold_accuracy,seed,sensitivity_per_class_class0,sensitivity_per_class_class1,sensitivity_per_class_class2,sensitivity_per_class_class3,sensitivity_per_class_class4,specificity_per_class_class0,specificity_per_class_class1,specificity_per_class_class2,specificity_per_class_class3,specificity_per_class_class4
0.817060637204522,0.8544672183322725,,,0.8434554973821989,OASIS-1 slices,alzheimer_hc_vs_ad,0.6696214822148336,mri,,1946,,8144,1910,"subject-grouped split (GroupShuffleSplit) over 347 unique OASIS-1 subjects -- a prior version of this experiment split individual slices without subject grouping, which leaks the same patient's scans across train/test and inflates accuracy; see docs/RESULTS.md.",,42,0.9197963080840229,0.38666666666666666,,,,0.38666666666666666,0.9197963080840229,,,
0.6470588235294118,0.6728181468665898,,,,Parkinson Drawings (spiral),pd_motor_spiral,0.622532894736842,motor(drawing),5,,102,,,"5-fold GroupKFold CV by subject over the full train+test pool (28 groups, n=102); the dataset's own train/test split is not subject-disjoint (same IDs on both sides), which a prior version of this experiment did not correct for; checkpoint is fold-0's model only.","[1.0, 0.2857142857142857, 0.8095238095238095, 0.7142857142857143, 0.3888888888888889]",42,0.9019607843137255,0.39215686274509803,,,,0.39215686274509803,0.9019607843137255,,,
0.6078431372549019,0.6632064590542099,,,,Parkinson Drawings (wave),pd_motor_wave,0.5921631347461016,motor(drawing),5,,102,,,"5-fold GroupKFold CV by subject over the full train+test pool (28 groups, n=102); the dataset's own train/test split is not subject-disjoint (same IDs on both sides), which a prior version of this experiment did not correct for; checkpoint is fold-0's model only.","[0.9523809523809523, 0.5714285714285714, 0.5238095238095238, 0.5238095238095238, 0.4444444444444444]",42,0.803921568627451,0.4117647058823529,,,,0.4117647058823529,0.803921568627451,,,
0.7333333333333333,0.5432256235827664,,,,UCI Parkinson's voice,pd_voice,0.5911290322580645,acoustic,5,,195,,,"5-fold GroupKFold CV by subject (n=195, ~31 subjects); checkpoint is fold-0's model only","[0.8378378378378378, 0.7027027027027027, 0.8918918918918919, 0.5714285714285714, 0.6904761904761905]",42,0.2916666666666667,0.8775510204081632,,,,0.8775510204081632,0.2916666666666667,,,
0.9901449275362318,0.9991472379752153,,,0.9872463768115942,Epileptic Seizure Recognition,epilepsy_seizure_vs_not,0.9845509990880743,eeg,,1725,,8050,1725,rows are pre-shuffled by the dataset distributor; standard random split matches published practice on this corpus,,42,0.994927536231884,0.9710144927536232,,,,0.9710144927536232,0.994927536231884,,,
0.8534221683827983,,0.8937374526018442,4,,combined (4 cohorts),camfn_joint_5way,0.5512516849605238,mri+eeg+motor+acoustic (masked),,3031,,13703,3033,"5-way diagnosis across combined cohorts; each test sample carries exactly one real modality (others masked absent) -- this validates missing-modality-robust routing through one shared fusion+classification head, not true joint multimodal benefit (no dataset here has >1 modality per patient).",,42,0.9904122722914669,0.0,1.0,1.0,nan,0.618421052631579,1.0,0.9938271604938271,1.0,1.0
0.8516050878255602,,0.8900537474876851,4,,combined (4 cohorts),fusion_ablation_naive_mean,0.536247251853894,mri+eeg+motor+acoustic (masked),,3031,,13703,3033,"Ablation baseline: same encoders/placeholders/heads as CAMFN, fusion replaced by a fixed masked mean (no cross-attention, no learned gate). Compare directly against camfn_joint_5way from the same seed.",,42,0.9942473633748802,0.0,0.7741935483870968,1.0,nan,0.6069078947368421,1.0,0.9962962962962963,1.0,1.0
