Device: cuda, seed: 42

=== Experiment: Alzheimer (OASIS-1 MRI slices), HC vs AD ===
  epoch 19: train_loss=0.2785 val_acc=0.6471
  epoch 20: train_loss=0.2179 val_acc=0.5882
  epoch 21: train_loss=0.1980 val_acc=0.8235
  epoch 22: train_loss=0.2833 val_acc=0.5882
  epoch 23: train_loss=0.1709 val_acc=0.8235
  epoch 24: train_loss=0.2026 val_acc=0.7647
  -- fold 4: n_train=65 n_val=17 n_test=20
  epoch 0: train_loss=0.6707 val_acc=0.5294
  epoch 1: train_loss=0.5787 val_acc=0.5294
  epoch 2: train_loss=0.5608 val_acc=0.5882
  epoch 3: train_loss=0.5128 val_acc=0.5294
  epoch 4: train_loss=0.5341 val_acc=0.4706
  epoch 5: train_loss=0.4971 val_acc=0.5882
  epoch 6: train_loss=0.3798 val_acc=0.5882
  epoch 7: train_loss=0.3874 val_acc=0.8235
  epoch 8: train_loss=0.3538 val_acc=0.8824
  epoch 9: train_loss=0.4176 val_acc=0.4706
  epoch 10: train_loss=0.3600 val_acc=0.9412
  epoch 11: train_loss=0.2972 val_acc=0.7647
  epoch 12: train_loss=0.2479 val_acc=0.5294
  epoch 13: train_loss=0.2716 val_acc=0.8824
  epoch 14: train_loss=0.2902 val_acc=0.9412
  epoch 15: train_loss=0.2412 val_acc=0.5294
  epoch 16: train_loss=0.2301 val_acc=0.4706
  epoch 17: train_loss=0.1922 val_acc=0.6471
  epoch 18: train_loss=0.2461 val_acc=0.5294
  epoch 19: train_loss=0.1964 val_acc=0.4706
  epoch 20: train_loss=0.2122 val_acc=0.7647
  epoch 21: train_loss=0.2121 val_acc=0.5294
  epoch 22: train_loss=0.1403 val_acc=0.8235
  epoch 23: train_loss=0.1869 val_acc=0.4706
  epoch 24: train_loss=0.1373 val_acc=0.8235
RESULT pd_motor_spiral: {'accuracy': 0.8431372549019608, 'macro_f1': 0.8421663442940038, 'sensitivity_per_class': {0: 0.7647058823529411, 1: 0.9215686274509803}, 'specificity_per_class': {0: 0.9215686274509803, 1: 0.7647058823529411}, 'auc_roc': 0.906958861976163, 'n_folds': 5, 'n_test_total': 102, 'per_fold_accuracy': [0.8571428571428571, 0.8095238095238095, 0.9, 0.85, 0.8], 'note': "5-fold stratified CV over the full train+test pool (n=102); checkpoint is fold-0's model only"}

=== Experiment: Parkinson's motor drawings (wave), healthy vs PD, 5-fold CV ===
  -- fold 0: n_train=64 n_val=17 n_test=21
  epoch 0: train_loss=0.6501 val_acc=0.5294
  epoch 1: train_loss=0.5208 val_acc=0.4706
  epoch 2: train_loss=0.4410 val_acc=0.4706
  epoch 3: train_loss=0.3962 val_acc=0.4706
  epoch 4: train_loss=0.4471 val_acc=0.4706
  epoch 5: train_loss=0.3354 val_acc=0.4706
  epoch 6: train_loss=0.3842 val_acc=0.4706
  epoch 7: train_loss=0.3180 val_acc=0.7059
  epoch 8: train_loss=0.2462 val_acc=0.4706
  epoch 9: train_loss=0.3065 val_acc=0.4706
  epoch 10: train_loss=0.2277 val_acc=0.6471
  epoch 11: train_loss=0.2243 val_acc=0.7647
  epoch 12: train_loss=0.1739 val_acc=0.4706
  epoch 13: train_loss=0.1638 val_acc=0.8824
  epoch 14: train_loss=0.1300 val_acc=0.8235
  epoch 15: train_loss=0.1419 val_acc=0.5294
  epoch 16: train_loss=0.1481 val_acc=0.8824
  epoch 17: train_loss=0.2183 val_acc=0.9412
  epoch 18: train_loss=0.1853 val_acc=0.5294
  epoch 19: train_loss=0.1254 val_acc=0.9412
  epoch 20: train_loss=0.0955 val_acc=0.5882
  epoch 21: train_loss=0.0703 val_acc=0.6471
  epoch 22: train_loss=0.0651 val_acc=0.8235
  epoch 23: train_loss=0.0487 val_acc=0.8235
  epoch 24: train_loss=0.1064 val_acc=0.8235
  saved checkpoint -> /workspace/camfn_multimodal_system/experiments/checkpoints/pd_motor_wave.pt
  -- fold 1: n_train=64 n_val=17 n_test=21
  epoch 0: train_loss=0.6691 val_acc=0.4706
  epoch 1: train_loss=0.5545 val_acc=0.5294
  epoch 2: train_loss=0.4655 val_acc=0.5294
  epoch 3: train_loss=0.4030 val_acc=0.5294
  epoch 4: train_loss=0.3569 val_acc=0.5294
  epoch 5: train_loss=0.2767 val_acc=0.5294
  epoch 6: train_loss=0.2620 val_acc=0.8235
  epoch 7: train_loss=0.2067 val_acc=0.7059
  epoch 8: train_loss=0.1761 val_acc=0.8235
  epoch 9: train_loss=0.2457 val_acc=0.4706
  epoch 10: train_loss=0.2513 val_acc=0.5294
  epoch 11: train_loss=0.2632 val_acc=0.5882
  epoch 12: train_loss=0.1657 val_acc=0.8235
  epoch 13: train_loss=0.1463 val_acc=0.7059
  epoch 14: train_loss=0.1142 val_acc=0.5882
  epoch 15: train_loss=0.0994 val_acc=0.5294
  epoch 16: train_loss=0.0733 val_acc=0.5882
  epoch 17: train_loss=0.0976 val_acc=0.8235
  epoch 18: train_loss=0.1631 val_acc=0.7647
