accuracy,auc_roc,auc_roc_ovr_macro,auc_roc_ovr_macro_n_classes_included,best_val_acc,dataset,experiment,macro_f1,modality,n_folds,n_test,n_test_total,n_train,n_val,note,per_fold_accuracy,seed,sensitivity_per_class_class0,sensitivity_per_class_class1,sensitivity_per_class_class2,sensitivity_per_class_class3,sensitivity_per_class_class4,specificity_per_class_class0,specificity_per_class_class1,specificity_per_class_class2,specificity_per_class_class3,specificity_per_class_class4
0.7749737118822292,0.8304783950617285,,,0.8711395101171459,OASIS-1 slices,alzheimer_hc_vs_ad,0.462706190466133,mri,,1902,,8220,1878,"subject-grouped split (GroupShuffleSplit) over 347 unique OASIS-1 subjects -- a prior version of this experiment split individual slices without subject grouping, which leaks the same patient's scans across train/test and inflates accuracy; see docs/RESULTS.md.",,43,0.9945578231292517,0.027777777777777776,,,,0.027777777777777776,0.9945578231292517,,,
0.6666666666666666,0.7816224529027297,,,,Parkinson Drawings (spiral),pd_motor_spiral,0.6646034816247582,motor(drawing),5,,102,,,"5-fold GroupKFold CV by subject over the full train+test pool (28 groups, n=102); the dataset's own train/test split is not subject-disjoint (same IDs on both sides), which a prior version of this experiment did not correct for; checkpoint is fold-0's model only.","[0.7142857142857143, 0.42857142857142855, 0.8095238095238095, 0.6666666666666666, 0.7222222222222222]",43,0.7450980392156863,0.5882352941176471,,,,0.5882352941176471,0.7450980392156863,,,
0.7941176470588235,0.788158400615148,,,,Parkinson Drawings (wave),pd_motor_wave,0.7907181240840254,motor(drawing),5,,102,,,"5-fold GroupKFold CV by subject over the full train+test pool (28 groups, n=102); the dataset's own train/test split is not subject-disjoint (same IDs on both sides), which a prior version of this experiment did not correct for; checkpoint is fold-0's model only.","[0.9047619047619048, 0.8571428571428571, 0.8095238095238095, 0.8095238095238095, 0.5555555555555556]",43,0.9215686274509803,0.6666666666666666,,,,0.6666666666666666,0.9215686274509803,,,
0.7128205128205128,0.5082199546485261,,,,UCI Parkinson's voice,pd_voice,0.542406972846128,acoustic,5,,195,,,"5-fold GroupKFold CV by subject (n=195, ~31 subjects); checkpoint is fold-0's model only","[0.8378378378378378, 0.7837837837837838, 0.9459459459459459, 0.47619047619047616, 0.5714285714285714]",43,0.20833333333333334,0.8775510204081632,,,,0.8775510204081632,0.20833333333333334,,,
0.9855072463768116,0.9985108170552406,,,0.9901449275362318,Epileptic Seizure Recognition,epilepsy_seizure_vs_not,0.9775735081897647,eeg,,1725,,8050,1725,rows are pre-shuffled by the dataset distributor; standard random split matches published practice on this corpus,,43,0.9876811594202899,0.9768115942028985,,,,0.9768115942028985,0.9876811594202899,,,
0.3997620464009518,,0.8480511349992941,4,,combined (4 cohorts),camfn_joint_5way,0.4271569799434546,mri+eeg+motor+acoustic (masked),,3061,,13692,3014,"5-way diagnosis across combined cohorts; each test sample carries exactly one real modality (others masked absent) -- this validates missing-modality-robust routing through one shared fusion+classification head, not true joint multimodal benefit (no dataset here has >1 modality per patient).",,43,0.0,1.0,1.0,1.0,nan,1.0,0.27991298042059465,0.9903381642512077,1.0,1.0
0.8304580606781677,,0.9522648789307755,4,,combined (4 cohorts),fusion_ablation_naive_mean,0.5781029304822334,mri+eeg+motor+acoustic (masked),,3061,,13692,3014,"Ablation baseline: same encoders/placeholders/heads as CAMFN, fusion replaced by a fixed masked mean (no cross-attention, no learned gate). Compare directly against camfn_joint_5way from the same seed.",,43,0.9663032705649157,0.17218543046357615,0.96,1.0,nan,0.6264880952380952,0.9869470630891951,0.9903381642512077,1.0,1.0
