accuracy,auc_roc,auc_roc_ovr_macro,auc_roc_ovr_macro_n_classes_included,best_val_acc,dataset,experiment,macro_f1,modality,n_folds,n_test,n_test_total,n_train,n_val,note,per_fold_accuracy,seed,sensitivity_per_class_class0,sensitivity_per_class_class1,sensitivity_per_class_class2,sensitivity_per_class_class3,sensitivity_per_class_class4,specificity_per_class_class0,specificity_per_class_class1,specificity_per_class_class2,specificity_per_class_class3,specificity_per_class_class4
0.8388888888888889,0.9778234686730546,,,0.8383333333333334,OASIS-1 slices,alzheimer_hc_vs_ad,0.6620913052597236,mri,,1800,,8400,1800,,,44,1.0,0.2639593908629442,,,,0.2639593908629442,1.0,,,
0.7647058823529411,0.8554402153018069,,,,Parkinson Drawings (spiral),pd_motor_spiral,0.7624223602484472,motor(drawing),5,,102,,,5-fold stratified CV over the full train+test pool (n=102); checkpoint is fold-0's model only,"[0.8095238095238095, 0.8095238095238095, 0.65, 0.7, 0.85]",44,0.6666666666666666,0.8627450980392157,,,,0.8627450980392157,0.6666666666666666,,,
0.7941176470588235,0.8738946559015763,,,,Parkinson Drawings (wave),pd_motor_wave,0.7940978563875805,motor(drawing),5,,102,,,5-fold stratified CV over the full train+test pool (n=102); checkpoint is fold-0's model only,"[0.8095238095238095, 0.8571428571428571, 0.85, 0.85, 0.6]",44,0.803921568627451,0.7843137254901961,,,,0.7843137254901961,0.803921568627451,,,
0.7846153846153846,0.47491496598639454,,,,UCI Parkinson's voice,pd_voice,0.5863636363636363,acoustic,5,,195,,,"5-fold GroupKFold CV by subject (n=195, ~31 subjects); checkpoint is fold-0's model only","[0.8378378378378378, 0.7567567567567568, 1.0, 0.7857142857142857, 0.5714285714285714]",44,0.1875,0.9795918367346939,,,,0.9795918367346939,0.1875,,,
0.9878260869565217,0.9992858643142197,,,0.9936231884057971,Epileptic Seizure Recognition,epilepsy_seizure_vs_not,0.9808319236176628,eeg,,1725,,8050,1725,rows are pre-shuffled by the dataset distributor; standard random split matches published practice on this corpus,,44,0.994927536231884,0.9594202898550724,,,,0.9594202898550724,0.994927536231884,,,
0.567258883248731,,0.9585674736713481,4,,combined (4 cohorts),camfn_joint_5way,0.5295710730493339,mri+eeg+motor+acoustic (masked),,2966,,13836,2965,"5-way diagnosis across combined cohorts; each test sample carries exactly one real modality (others masked absent) -- this validates missing-modality-robust routing through one shared fusion+classification head, not true joint multimodal benefit (no dataset here has >1 modality per patient).",,44,0.2910602910602911,1.0,1.0,1.0,nan,1.0,0.4935361216730038,0.9896840747904577,1.0,1.0
0.825507614213198,,0.9328462291369608,4,,combined (4 cohorts),fusion_ablation_naive_mean,0.5247590637907298,mri+eeg+motor+acoustic (masked),,2966,,13836,2965,"Ablation baseline: same encoders/placeholders/heads as CAMFN, fusion replaced by a fixed masked mean (no cross-attention, no learned gate). Compare directly against camfn_joint_5way from the same seed.",,44,0.9896049896049897,0.0,0.84,1.0,nan,0.5684039087947883,1.0,0.9935525467440361,1.0,1.0
