Device: cuda, seed: 44

=== Experiment: Alzheimer (OASIS-1 MRI slices), HC vs AD ===
  epoch 23: train_loss=0.1691 val_acc=0.5294
  epoch 24: train_loss=0.1890 val_acc=0.4706
  -- fold 4: n_train=65 n_val=17 n_test=20
  epoch 0: train_loss=0.7531 val_acc=0.4706
  epoch 1: train_loss=0.6161 val_acc=0.4706
  epoch 2: train_loss=0.5378 val_acc=0.4706
  epoch 3: train_loss=0.4912 val_acc=0.5882
  epoch 4: train_loss=0.4924 val_acc=0.5294
  epoch 5: train_loss=0.4606 val_acc=0.4706
  epoch 6: train_loss=0.4306 val_acc=0.5882
  epoch 7: train_loss=0.4079 val_acc=0.4706
  epoch 8: train_loss=0.3757 val_acc=0.4118
  epoch 9: train_loss=0.3203 val_acc=0.7059
  epoch 10: train_loss=0.2764 val_acc=0.6471
  epoch 11: train_loss=0.2191 val_acc=0.4706
  epoch 12: train_loss=0.2714 val_acc=0.7647
  epoch 13: train_loss=0.1995 val_acc=0.5882
  epoch 14: train_loss=0.2450 val_acc=0.4706
  epoch 15: train_loss=0.1796 val_acc=0.5882
  epoch 16: train_loss=0.2191 val_acc=0.8235
  epoch 17: train_loss=0.1803 val_acc=0.5294
  epoch 18: train_loss=0.2674 val_acc=0.4706
  epoch 19: train_loss=0.2092 val_acc=0.5882
  epoch 20: train_loss=0.1553 val_acc=0.5882
  epoch 21: train_loss=0.1865 val_acc=0.5882
  epoch 22: train_loss=0.1756 val_acc=0.5882
  epoch 23: train_loss=0.1111 val_acc=0.5882
  epoch 24: train_loss=0.1315 val_acc=0.5882
RESULT pd_motor_spiral: {'accuracy': 0.7647058823529411, 'macro_f1': 0.7624223602484472, 'sensitivity_per_class': {0: 0.6666666666666666, 1: 0.8627450980392157}, 'specificity_per_class': {0: 0.8627450980392157, 1: 0.6666666666666666}, 'auc_roc': 0.8554402153018069, 'n_folds': 5, 'n_test_total': 102, 'per_fold_accuracy': [0.8095238095238095, 0.8095238095238095, 0.65, 0.7, 0.85], 'note': "5-fold stratified CV over the full train+test pool (n=102); checkpoint is fold-0's model only"}

=== Experiment: Parkinson's motor drawings (wave), healthy vs PD, 5-fold CV ===
  -- fold 0: n_train=64 n_val=17 n_test=21
  epoch 0: train_loss=0.6977 val_acc=0.4706
  epoch 1: train_loss=0.5487 val_acc=0.4706
  epoch 2: train_loss=0.4656 val_acc=0.4706
  epoch 3: train_loss=0.4716 val_acc=0.4706
  epoch 4: train_loss=0.3825 val_acc=0.5882
  epoch 5: train_loss=0.3161 val_acc=0.4706
  epoch 6: train_loss=0.3204 val_acc=0.6471
  epoch 7: train_loss=0.2286 val_acc=0.5294
  epoch 8: train_loss=0.2608 val_acc=0.6471
  epoch 9: train_loss=0.2594 val_acc=0.7647
  epoch 10: train_loss=0.2046 val_acc=0.5294
  epoch 11: train_loss=0.1814 val_acc=0.5294
  epoch 12: train_loss=0.1729 val_acc=0.5294
  epoch 13: train_loss=0.1718 val_acc=0.7647
  epoch 14: train_loss=0.1750 val_acc=0.5294
  epoch 15: train_loss=0.2049 val_acc=0.5882
  epoch 16: train_loss=0.1289 val_acc=0.5882
  epoch 17: train_loss=0.2049 val_acc=0.6471
  epoch 18: train_loss=0.1074 val_acc=0.7647
  epoch 19: train_loss=0.1374 val_acc=0.4706
  epoch 20: train_loss=0.2085 val_acc=0.7647
  epoch 21: train_loss=0.1358 val_acc=0.6471
  epoch 22: train_loss=0.1267 val_acc=0.5294
  epoch 23: train_loss=0.0821 val_acc=0.8235
  epoch 24: train_loss=0.0606 val_acc=0.5882
  -- fold 1: n_train=64 n_val=17 n_test=21
  epoch 0: train_loss=0.6519 val_acc=0.5294
  epoch 1: train_loss=0.5023 val_acc=0.4706
  epoch 2: train_loss=0.3645 val_acc=0.4706
  epoch 3: train_loss=0.3692 val_acc=0.4118
  epoch 4: train_loss=0.3248 val_acc=0.7059
  epoch 5: train_loss=0.3867 val_acc=0.4706
  epoch 6: train_loss=0.3392 val_acc=0.5294
  epoch 7: train_loss=0.2894 val_acc=0.5294
  epoch 8: train_loss=0.2750 val_acc=0.7059
  epoch 9: train_loss=0.2907 val_acc=0.7647
  epoch 10: train_loss=0.1997 val_acc=0.6471
  epoch 11: train_loss=0.1941 val_acc=0.6471
  epoch 12: train_loss=0.1503 val_acc=0.6471
  epoch 13: train_loss=0.2097 val_acc=0.7647
  epoch 14: train_loss=0.1494 val_acc=0.8235
  epoch 15: train_loss=0.1205 val_acc=0.6471
  epoch 16: train_loss=0.1172 val_acc=0.8235
  epoch 17: train_loss=0.1928 val_acc=0.8235
  epoch 18: train_loss=0.1332 val_acc=0.5882
  epoch 19: train_loss=0.1676 val_acc=0.6471
  epoch 20: train_loss=0.1974 val_acc=0.6471
  epoch 21: train_loss=0.1598 val_acc=0.7059
  epoch 22: train_loss=0.1080 val_acc=0.6471
  epoch 23: train_loss=0.1071 val_acc=0.5882
  epoch 24: train_loss=0.0854 val_acc=0.5882
  -- fold 2: n_train=65 n_val=17 n_test=20
